Scan Configurations
Target Ip-Address : 45.33.32.156     
No of Ports to scan : 250
Scans to be performed : UDP 
No of threads : 1
Scanning..
...................
Scan took 249.15422 secs
IP address: 45.33.32.156

Open ports:
Port      Service Name (if applicable) Results                                       Conclusion
------------------------------------------------------------------------------------------------------
123       ntp                          UDP(Open)                                     Open

Closed/Filtered/Unfiltered ports:
Port      Service Name (if applicable) Results                                       Conclusion
------------------------------------------------------------------------------------------------------
130       cisco-fna                    UDP(Closed)                                   Closed
131       cisco-tna                    UDP(Closed)                                   Closed
132       cisco-sys                    UDP(Closed)                                   Closed
133       statsrv                      UDP(Closed)                                   Closed
134       ingres-net                   UDP(Closed)                                   Closed
135       msrpc                        UDP(Closed)                                   Closed
136       profile                      UDP(Closed)                                   Closed
137       netbios-ns                   UDP(Closed)                                   Closed
138       netbios-dgm                  UDP(Closed)                                   Closed
139       netbios-ssn                  UDP(Closed)                                   Closed
140       emfis-data                   UDP(Closed)                                   Closed
141       emfis-cntl                   UDP(Closed)                                   Closed
142       bl-idm                       UDP(Closed)                                   Closed
143       imap                         UDP(Closed)                                   Closed
144       news                         UDP(Closed)                                   Closed
145       uaac                         UDP(Closed)                                   Closed
146       iso-tp0                      UDP(Closed)                                   Closed
147       iso-ip                       UDP(Closed)                                   Closed
148       cronus                       UDP(Closed)                                   Closed
149       aed-512                      UDP(Closed)                                   Closed
150       sql-net                      UDP(Closed)                                   Closed
151       hems                         UDP(Closed)                                   Closed
152       bftp                         UDP(Closed)                                   Closed
153       sgmp                         UDP(Closed)                                   Closed
154       netsc-prod                   UDP(Closed)                                   Closed
155       netsc-dev                    UDP(Closed)                                   Closed
156       sqlsrv                       UDP(Closed)                                   Closed
157       knet-cmp                     UDP(Closed)                                   Closed
158       pcmail-srv                   UDP(Closed)                                   Closed
159       nss-routing                  UDP(Closed)                                   Closed
160       sgmp-traps                   UDP(Closed)                                   Closed
161       snmp                         UDP(Closed)                                   Closed
162       snmptrap                     UDP(Closed)                                   Closed
163       cmip-man                     UDP(Closed)                                   Closed
164       cmip-agent                   UDP(Closed)                                   Closed
165       xns-courier                  UDP(Closed)                                   Closed
166       s-net                        UDP(Closed)                                   Closed
167       namp                         UDP(Closed)                                   Closed
168       rsvd                         UDP(Closed)                                   Closed
169       send                         UDP(Closed)                                   Closed
170       print-srv                    UDP(Closed)                                   Closed
171       multiplex                    UDP(Closed)                                   Closed
172       cl-1                         UDP(Closed)                                   Closed
173       xyplex-mux                   UDP(Closed)                                   Closed
174       mailq                        UDP(Closed)                                   Closed
175       vmnet                        UDP(Closed)                                   Closed
176       genrad-mux                   UDP(Closed)                                   Closed
177       xdmcp                        UDP(Closed)                                   Closed
178       nextstep                     UDP(Closed)                                   Closed
179       bgp                          UDP(Closed)                                   Closed
180       ris                          UDP(Closed)                                   Closed
181       unify                        UDP(Closed)                                   Closed
182       audit                        UDP(Closed)                                   Closed
183       ocbinder                     UDP(Closed)                                   Closed
184       ocserver                     UDP(Closed)                                   Closed
185       remote-kis                   UDP(Closed)                                   Closed
186       kis                          UDP(Closed)                                   Closed
187       aci                          UDP(Closed)                                   Closed
188       mumps                        UDP(Closed)                                   Closed
189       qft                          UDP(Closed)                                   Closed
190       gacp                         UDP(Closed)                                   Closed
191       prospero                     UDP(Closed)                                   Closed
192       osu-nms                      UDP(Closed)                                   Closed
193       srmp                         UDP(Closed)                                   Closed
194       irc                          UDP(Closed)                                   Closed
195       dn6-nlm-aud                  UDP(Closed)                                   Closed
196       dn6-smm-red                  UDP(Closed)                                   Closed
197       dls                          UDP(Closed)                                   Closed
198       dls-mon                      UDP(Closed)                                   Closed
199       smux                         UDP(Closed)                                   Closed
200       src                          UDP(Closed)                                   Closed
201       at-rtmp                      UDP(Closed)                                   Closed
202       at-nbp                       UDP(Closed)                                   Closed
203       at-3                         UDP(Closed)                                   Closed
204       at-echo                      UDP(Closed)                                   Closed
205       at-5                         UDP(Closed)                                   Closed
206       at-zis                       UDP(Closed)                                   Closed
207       at-7                         UDP(Closed)                                   Closed
208       at-8                         UDP(Closed)                                   Closed
209       tam                          UDP(Closed)                                   Closed
210       z39.50                       UDP(Closed)                                   Closed
211       914c-g                       UDP(Closed)                                   Closed
212       anet                         UDP(Closed)                                   Closed
213       ipx                          UDP(Closed)                                   Closed
214       vmpwscs                      UDP(Closed)                                   Closed
215       softpc                       UDP(Closed)                                   Closed
216       atls                         UDP(Closed)                                   Closed
217       dbase                        UDP(Closed)                                   Closed
218       mpp                          UDP(Closed)                                   Closed
219       uarps                        UDP(Closed)                                   Closed
220       imap3                        UDP(Closed)                                   Closed
221       fln-spx                      UDP(Closed)                                   Closed
222       rsh-spx                      UDP(Closed)                                   Closed
223       cdc                          UDP(Closed)                                   Closed
224       masqdialer                   UDP(Closed)                                   Closed
225       unknown                      UDP(Closed)                                   Closed
226       unknown                      UDP(Closed)                                   Closed
227       unknown                      UDP(Closed)                                   Closed
228       unknown                      UDP(Closed)                                   Closed
229       unknown                      UDP(Closed)                                   Closed
230       unknown                      UDP(Closed)                                   Closed
231       unknown                      UDP(Closed)                                   Closed
232       unknown                      UDP(Closed)                                   Closed
233       unknown                      UDP(Closed)                                   Closed
234       unknown                      UDP(Closed)                                   Closed
235       unknown                      UDP(Closed)                                   Closed
236       unknown                      UDP(Closed)                                   Closed
237       unknown                      UDP(Closed)                                   Closed
238       unknown                      UDP(Closed)                                   Closed
239       unknown                      UDP(Closed)                                   Closed
240       unknown                      UDP(Closed)                                   Closed
241       unknown                      UDP(Closed)                                   Closed
242       direct                       UDP(Closed)                                   Closed
243       sur-meas                     UDP(Closed)                                   Closed
244       dayna                        UDP(Closed)                                   Closed
245       link                         UDP(Closed)                                   Closed
246       dsp3270                      UDP(Closed)                                   Closed
247       subntbcst_tftp               UDP(Closed)                                   Closed
248       bhfhs                        UDP(Closed)                                   Closed
249       unknown                      UDP(Closed)                                   Closed
250       unknown                      UDP(Closed)                                   Closed

